text;;
RT@IdrisAShomad: Assalamualaikum selamat pagi Depok,selamat menempuh UN anak anakku di SD/Ibtidaiyah, yakin kepada Allah, jujur & semangat,;;
Assalamualaikum selamat pagi Depok,selamat menempuh UN anak anakku di SD/Ibtidaiyah, yakin kepada Allah, jujur & semangat,insya Alloh sukses;;
"Bagi2 ilmu @fahiraidris @Yusuf_Mansur @IdrisAShomad 
Manfaat daun bidara 
http://juragan-bidara.blogspot.co.id/2014/08/mengenal-pohon-bidara.html …";;
RT SawanganUpdate: Truk mogok di tanjakan parung bingung, sawangan macet total. restadepok TMCPoldaMetro RadioElshinta IdrisAShomad  pemkot…;;
Truk mogok di tanjakan parung bingung, sawangan macet total. @restadepok @TMCPoldaMetro @RadioElshinta @IdrisAShomad @pemkotdepok;;
Buat yang cari lowongan di Depok... silahkan..pic.twitter.com/wl6MeuCGPG;;
Oo gt y mba @andhika_thalib Kalau pemerintahannya baik... pasti cepat direspon & tdk berlarut2 seperti itu... @pemkotdepok @IdrisAShomad;;
Pak @IdrisAShomad @Pdamkotadepok @TirtaAsasta udah sebulan mati terus, saya kn mesti ibadah, masa gak wudhu?;;
Siap @LAPOR1708 ! msh menanti air @TirtaAsasta @Pdamkotadepok mengalir diperumahan kami. cc: @IdrisAShomad @BIMASDA pic.twitter.com/Fi1z0ygjcr;;
Sosialisasi Pemilaham Sampah di Perum Saiber Kelurahan Kalimulya (Ming,15/05/16) @ZamrowiHasan @IdrisAShomad pic.twitter.com/9t63yZo4wo;;
Di Perumahan Tirta Mandala sangat parah, hanya menetes. Ktr PDAMnya klo ditelp gak diangkat;;
PelayananTirtaAsasta mengecewakan,mending dulu wkt ditangani Pemkab Bogor TirtaKahuripan;;
Saya salut dg Gubernur jateng @ganjarpranowo yg slalu menjwb lsg keluhan warganya.Pdhal beliau Gub lho!;;
Dulu wkt msh ditangani Tirta Kahuripan Pemkab Bogor air PAMnya mengalir deras;;
Hak pejalan kaki terampas. Padahal trotoarnya udah kece. Lokasi: depan Restoran Sederhana Margonda Cc: @IdrisAShomad pic.twitter.com/K1bwGivlTJ;;
Sosialisasi Pemilahan Sampah di Perum Permata Darusalam Kukusan (Ming,15/05/16) @ZamrowiHasan @IdrisAShomad pic.twitter.com/NYPfSKDcGA;;
