"tidak_baku;baku"
"bagi2;bagi-bagi"
"tdk;tidak"
"berlarut2;berlarut-larut"
"msh;masih"
"ditelp;ditelpon"
"wkt;waktu"
"dg;dengan"
"yg;yang"
"slalu;selalu"
"pdhal;padahal"
"gub;gubernur"
"ktr;kantor"
"lwt;lewat"
"hrsnya;harusnya"
"mrk;mereka"
"sdh;sudah"
"berbln2;berbulan-bulan"
"tlg;tolong"
"sptnya;sepertinya"
"tsb;tersebut"
"scr;secara"
"tp;tapi"
"cr;cara"
"bkn;bukan"
"spt;seperti"
"na;nya"
"thd;terhadap"
"sbg;sebagai"
"sll;selalu"
"n;dan"
"smp;sampai"
"mlm;malam"
"bs;bisa"
"klo;kalau"
"smpe;sampai"
"lsg;langsung"
"slmt;selamat"
"didlm;didalam"
"mhn;mohon"
"dpk;depok"
"matlamp;matilampu"
"ket;keterangan"
"mngg;minggu"
"sya;saya"
"kla;kalau"
"sdah;sudah"
"bkankah;bukankah"
"sdr;saudara"
"jg;juga"
"kel;kelurahan"
"dpt;dapat"
"slamat;selamat"
"pg;pagi"
"psir;pasir"
"bsi;besi"
"untk;untuk"
"dlm;dalam"
"bpk;bapak"
"tdk;tidak"
"mhon;mohon"
"tndak;tindak"
"ckp;cukup"
"dgn;dengan"
"trs;terus"
"bntu;bantu"
"pmbuatn;pembuatan"
"dilgkngn;dilingkungan"
"wrg;warga"
"gd;gedung"
"kk;kartu keluarga"
"sgt;dangat"
"d;di"
"bgt;banget"
"cmn;cuman"
"bgm;bagaimana"
"scr;secara"
"bhkn;bahkan"
"bnyak;banyak"
"tlg;tolong"
"loocj;lock"
"mlh;malah"
"pk;pak"
"blm;belum"
"klh;kalah"
"bwt;buat"
"dn;dan"
"jln;jalan"
"mbil;mobil"
"g;gak"
"bbrp;beberapa"
"dr;dari"
"lgs;langsung"
"cm;Cuma"
"rngka;rangka"
"mndkng;mendukung"
"mlkkn;melakukan"
"plynn;pelayanan"
"tolg;tolong"
"sll;selalu"
"pst;pasti"
"psl;pasal"
"knpa;kenapa"
"pbuatan;pembuatan"
"prkr;parkir"
"sngat;sangat"
"lyak;layak"
"cmgis;cimanggis"
"pduli;peduli"
"hdiri;hadiri"
"byk;banyak"
"msjd;masjid"
"trwh;tarawih"
"bln;bulan"
"slt;sholat"
"ap;apa"
"mrka;mereka"
"jlnnya;jalan"
"nda;tidak"
"pe4an;perempatan"
"mantaf;mantap"
"jgn;jangan"
"utk;untuk"
"dtg;datang"
"dh;sudah"
"rkyt;rakyat"
"jd;jadi"
"drpd;daripada"
"ad/;adalah"
"gmna;bagaimana"
"lg;lagi"
"tks;terimakasih"
"pdg;pedagang"
"blh;boleh"
"thn;tahun"
"msk;masuk"
"jl;jalan"
"apakh;apakah"
"karna;karena"
"ad;ada"
"samph;sampah"
"smph;sampah"
"org;orang"
"tolng;tolong"
"slrh;seluruh"
"jlnan;jalanan"
"hny;hanya"
"walkot;walikota"
"smoga;semoga"
"gpp;gapapa"
"pskesmas;puskesmas"
"ptgas;petugas"
"stlah;setelah"
"rmh;rumah"
"koord;koordinasi"
"tlh;telah"
"dmn;dimana"
"bgm;bagaimana"
"spanduk2;spanduk-spanduk"
"dmn2;dimana-mana"
"ssuai;sesuai"
"kpd;kepada"
"nmun;namun"
"yll;yang lalu"
"hbis;habis"
"hbs;habis"
"mg;minggu"
"psrta;peserta"
"maksiml;maksimal"
"hati2;hati-hati"
"yng;yang"
"ttg;tentang"
"feb;februari"
"mw;mau"
"hmpir;hampir"
"sd;sampai dengan"
